Shape,Landmark,X,Y
1,1,0.324,0.000
1,2,0.317,0.703
1,3,0.000,0.662
1,4,0.690,1.000
1,5,0.683,0.676
1,6,0.483,0.703
1,7,0.476,0.014
2,1,0.372,-0.321
2,2,0.362,0.483
2,3,0.162,0.460
2,4,0.618,0.679
2,5,0.623,0.460
2,6,0.479,0.465
2,7,0.479,-0.317
3,1,0.507,-0.176
3,2,0.507,0.513
3,3,0.204,0.465
3,4,0.873,0.810
3,5,0.880,0.486
3,6,0.666,0.493
3,7,0.666,-0.170
4,1,0.218,0.014
4,2,0.218,0.703
4,3,-0.085,0.655
4,4,0.591,1.000
4,5,0.584,0.676
4,6,0.384,0.703
4,7,0.370,0.000
5,1,0.530,-0.316
5,2,0.521,0.488
5,3,0.326,0.451
5,4,0.777,0.684
5,5,0.781,0.465
5,6,0.637,0.470
5,7,0.637,-0.312
6,1,0.184,0.012
6,2,0.184,0.743
6,3,-0.073,0.708
6,4,0.500,1.000
6,5,0.500,0.737
6,6,0.325,0.749
6,7,0.319,0.000
7,1,0.358,-0.327
7,2,0.346,0.428
7,3,0.089,0.381
7,4,0.673,0.667
7,5,0.673,0.404
7,6,0.492,0.416
7,7,0.492,-0.315
8,1,0.521,-0.326
8,2,0.509,0.428
8,3,0.258,0.381
8,4,0.837,0.668
8,5,0.837,0.405
8,6,0.656,0.416
8,7,0.656,-0.315
9,1,0.263,0.000
9,2,0.263,0.749
9,3,0.000,0.708
9,4,0.579,0.994
9,5,0.579,0.731
9,6,0.398,0.743
9,7,0.398,0.012
10,1,0.193,0.000
10,2,0.178,0.802
10,3,-0.071,0.827
10,4,0.478,1.000
10,5,0.478,0.797
10,6,0.290,0.792
10,7,0.290,0.005
