Shape,Landmark,X,Y
1,1,0.492,0.004
1,2,0.095,0.790
1,3,0.505,0.527
1,4,0.864,0.762
2,1,0.512,0.000
2,2,0.082,0.786
2,3,0.501,0.676
2,4,0.862,0.769
3,1,0.536,0.000
3,2,0.082,0.702
3,3,0.501,0.540
3,4,0.855,0.689
4,1,0.503,0.000
4,2,0.091,0.799
4,3,0.508,0.626
4,4,0.814,0.793
5,1,0.496,0.000
5,2,0.058,0.825
5,3,0.491,0.426
5,4,0.744,0.832
6,1,0.505,0.000
6,2,0.117,0.814
6,3,0.510,0.546
6,4,0.812,0.797
7,1,0.496,0.008
7,2,0.108,0.982
7,3,0.483,0.657
7,4,0.807,0.942
8,1,0.514,0.000
8,2,0.095,0.795
8,3,0.505,0.531
8,4,0.864,0.769
9,1,0.505,0.000
9,2,0.065,0.778
9,3,0.579,0.540
9,4,0.890,0.758
10,1,0.514,0.000
10,2,0.091,0.795
10,3,0.510,0.540
10,4,0.955,0.695
