Shape,Landmark,X,Y
1,1,0.003,0.207
1,2,0.220,0.430
1,3,0.475,0.299
1,4,1.000,0.264
1,5,0.246,-0.054
2,1,0.000,0.169
2,2,0.216,0.385
2,3,0.459,0.265
2,4,1.000,0.244
2,5,0.240,-0.027
3,1,0.003,0.227
3,2,0.217,0.466
3,3,0.472,0.314
3,4,1.000,0.273
3,5,0.239,0.000
4,1,0.000,0.209
4,2,0.226,0.453
4,3,0.417,0.298
4,4,1.000,0.285
4,5,0.221,0.000
5,1,0.000,0.211
5,2,0.208,0.435
5,3,0.421,0.299
5,4,0.994,0.241
5,5,0.233,0.003
6,1,0.000,0.238
6,2,0.178,0.473
6,3,0.406,0.309
6,4,1.000,0.255
6,5,0.265,-0.010
7,1,0.000,0.241
7,2,0.251,0.473
7,3,0.492,0.334
7,4,1.000,0.222
7,5,0.267,0.000
8,1,0.014,0.196
8,2,0.196,0.441
8,3,0.432,0.311
8,4,1.000,0.259
8,5,0.213,0.003
9,1,0.000,0.207
9,2,0.263,0.388
9,3,0.576,0.270
9,4,1.000,0.227
9,5,0.286,0.016
10,1,0.000,0.267
10,2,0.260,0.542
10,3,0.499,0.389
10,4,1.000,0.310
10,5,0.277,0.000
