X,Y
0.393822,1.001431
-0.002684,0.147693
0.350343,0.990668
0.062499,0.268388
0.656328,0.356107
0.644596,0.089653
0.268924,0.054157
0.680035,0.275887
0.523977,0.875054
0.323551,0.946569
0.207136,0.722511
0.319047,0.016403
0.618108,0.486028
0.240808,0.928490
0.010861,0.172182
0.501538,0.930509
0.605513,0.562535
0.523879,0.877150
0.598117,0.074814
0.731324,0.120659
0.677792,0.097628
0.477924,0.933033
0.524193,0.910259
0.442418,0.931852
0.529364,0.789051
0.241474,0.889587
0.260446,0.937328
0.118751,0.381743
0.114424,0.372118
0.325530,0.947266
0.160171,0.572122
0.346810,0.986145
0.416640,0.018127
0.230054,0.057474
0.159210,0.568284
0.736643,0.124084
0.148844,0.508231
0.674341,0.282362
0.568766,0.062620
0.132905,0.442781
0.457600,0.930270
0.165183,0.067950
-0.002835,0.146886
0.068866,0.278175
0.148655,0.509902
0.638152,0.407357
0.129952,0.431190
0.611072,0.605469
0.133865,0.075858
0.713068,0.203258
