X,Y
0.021053,0.550880
0.021053,0.582460
0.017544,0.614040
0.017544,0.645610
0.014035,0.677190
0.014035,0.708770
0.010526,0.740350
0.010526,0.771930
0.007018,0.803510
0.007018,0.835090
0.003509,0.866670
0.003509,0.898250
0.000000,0.929820
0.028070,0.950880
0.059649,0.968420
0.091228,0.975440
0.122810,0.978950
0.154390,0.982460
0.185960,0.989470
0.217540,0.989470
0.249120,0.992980
0.280700,0.996490
0.312280,1.000000
0.343860,1.000000
0.375440,1.000000
0.407020,0.996490
0.438600,0.996490
0.470180,0.992980
0.501750,0.992980
0.533330,0.985960
0.564910,0.982460
0.596490,0.975440
0.628070,0.964910
0.659650,0.947370
0.663160,0.915790
0.663160,0.884210
0.663160,0.852630
0.666670,0.821050
0.698250,0.824560
0.729820,0.842110
0.761400,0.845610
0.792980,0.831580
0.824560,0.821050
0.852630,0.800000
0.870180,0.768420
0.880700,0.736840
0.894740,0.705260
0.901750,0.673680
0.901750,0.642110
0.901750,0.610530
0.898250,0.578950
0.894740,0.547370
0.891230,0.515790
0.887720,0.484210
0.880700,0.452630
0.870180,0.421050
0.863160,0.389470
0.845610,0.357890
0.824560,0.326320
0.796490,0.301750
0.764910,0.287720
0.733330,0.284210
0.701750,0.280700
0.670180,0.280700
0.638600,0.291230
0.631580,0.259650
0.628070,0.228070
0.624560,0.196490
0.621050,0.164910
0.617540,0.133330
0.614040,0.101750
0.582460,0.073684
0.550880,0.056140
0.519300,0.042105
0.487720,0.028070
0.456140,0.017544
0.424560,0.014035
0.392980,0.010526
0.361400,0.007018
0.329820,0.003509
0.298250,0.000000
0.266670,0.003509
0.235090,0.010526
0.203510,0.017544
0.171930,0.031579
0.140350,0.049123
0.108770,0.063158
0.080702,0.091228
0.059649,0.122810
0.045614,0.154390
0.042105,0.185960
0.042105,0.217540
0.038596,0.249120
0.038596,0.280700
0.035088,0.312280
0.035088,0.343860
0.031579,0.375440
0.031579,0.407020
0.028070,0.438600
0.028070,0.470180
0.024561,0.501750
0.024561,0.533330
0.021053,0.550880
